interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect
as2dist1:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core2:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2dist2:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as3border2:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dept1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2core1:GigabitEthernet3/0, 2, 2, 2, 2, 2, 2, 2, 2
as3border1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2dept1:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as1core1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2border2:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as1border2:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as3border1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core2:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as3core1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core2:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dist2:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2border2:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core1:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as2border1:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as2border2:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dept1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as1border2:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as1core1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as3border2:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2border1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as1border2:GigabitEthernet2/0, 2, 2, 2, 2, 2, 2, 2, 2
as1border1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2dist1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dist2:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dist1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2core2:GigabitEthernet3/0, 2, 2, 2, 2, 2, 2, 2, 2
as1border1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as3border2:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dist2:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as3border1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dept1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2border1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as3core1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as1border2:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2border1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dist1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as3core1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core1:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as1border1:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as2dept1:GigabitEthernet3/0, 2, 2, 2, 2, 2, 2, 2, 2
as2border2:GigabitEthernet1/0, 2, 2, 2, 2, 2, 2, 2, 2
as2core2:GigabitEthernet0/0, 2, 2, 2, 2, 2, 2, 2, 2
as1core1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
