interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect
as2dist2:Loopback0, 6, 6, 6, 6, 6, 6, 6, 6
as2dist1:GigabitEthernet0/0, 3, 3, 3, 3, 3, 3, 3, 3
as2border1:GigabitEthernet1/0, 15, 15, 15, 15, 15, 15, 15, 15
as1core1:GigabitEthernet0/0, 17, 17, 17, 17, 17, 17, 17, 17
as2border1:GigabitEthernet2/0, 6, 6, 6, 6, 6, 6, 6, 6
as2border2:GigabitEthernet2/0, 14, 14, 14, 14, 14, 14, 14, 14
as2core2:Loopback0, 6, 6, 6, 6, 6, 6, 6, 6
as1border1:Loopback0, 15, 15, 15, 15, 15, 15, 15, 15
as2dist1:GigabitEthernet1/0, 6, 6, 6, 6, 6, 6, 6, 6
as3core1:GigabitEthernet1/0, 17, 17, 17, 17, 17, 17, 17, 17
as2dist2:GigabitEthernet2/0, 7, 7, 7, 7, 7, 7, 7, 7
as1border1:GigabitEthernet0/0, 15, 15, 15, 15, 15, 15, 15, 15
as2core2:GigabitEthernet1/0, 6, 6, 6, 6, 6, 6, 6, 6
as3core1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2border2:GigabitEthernet0/0, 14, 14, 14, 14, 14, 14, 14, 14
as1border2:GigabitEthernet0/0, 5, 5, 5, 5, 5, 5, 5, 5
as2dept1:GigabitEthernet2/0, 17, 17, 17, 17, 17, 17, 17, 17
as2dist2:GigabitEthernet0/0, 6, 6, 6, 6, 6, 6, 6, 6
as3border1:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2core2:GigabitEthernet3/0, 6, 6, 6, 6, 6, 6, 6, 6
as1border2:GigabitEthernet2/0, 3, 3, 3, 3, 3, 3, 3, 3
as2core1:Loopback0, 17, 17, 17, 17, 17, 17, 17, 17
as2core2:GigabitEthernet2/0, 6, 6, 6, 6, 6, 6, 6, 6
as3border1:GigabitEthernet0/0, 14, 14, 14, 14, 14, 14, 14, 14
as2core1:GigabitEthernet2/0, 6, 6, 6, 6, 6, 6, 6, 6
as2dept1:GigabitEthernet3/0, 17, 17, 17, 17, 17, 17, 17, 17
as3border1:GigabitEthernet1/0, 14, 14, 14, 14, 14, 14, 14, 14
as2dept1:GigabitEthernet1/0, 9, 9, 9, 9, 9, 9, 9, 9
as2border1:GigabitEthernet0/0, 15, 15, 15, 15, 15, 15, 15, 15
as2dist1:GigabitEthernet2/0, 7, 7, 7, 7, 7, 7, 7, 7
as2dept1:Loopback0, 6, 6, 6, 6, 6, 6, 6, 6
as1core1:GigabitEthernet1/0, 17, 17, 17, 17, 17, 17, 17, 17
as3border2:Loopback0, 2, 2, 2, 2, 2, 2, 2, 2
as2core1:GigabitEthernet1/0, 14, 14, 14, 14, 14, 14, 14, 14
as2core2:GigabitEthernet0/0, 6, 6, 6, 6, 6, 6, 6, 6
as1border2:Loopback0, 3, 3, 3, 3, 3, 3, 3, 3
as2border1:Loopback0, 15, 15, 15, 15, 15, 15, 15, 15
as2border2:GigabitEthernet1/0, 6, 6, 6, 6, 6, 6, 6, 6
as2dist2:GigabitEthernet1/0, 3, 3, 3, 3, 3, 3, 3, 3
as3border2:GigabitEthernet1/0, 5, 5, 5, 5, 5, 5, 5, 5
as2core1:GigabitEthernet3/0, 6, 6, 6, 6, 6, 6, 6, 6
as3core1:GigabitEthernet0/0, 17, 17, 17, 17, 17, 17, 17, 17
as3border2:GigabitEthernet0/0, 5, 5, 5, 5, 5, 5, 5, 5
as2dist1:Loopback0, 6, 6, 6, 6, 6, 6, 6, 6
as2dept1:GigabitEthernet0/0, 9, 9, 9, 9, 9, 9, 9, 9
as2border2:Loopback0, 14, 14, 14, 14, 14, 14, 14, 14
as2core1:GigabitEthernet0/0, 15, 15, 15, 15, 15, 15, 15, 15
as1border1:GigabitEthernet1/0, 15, 15, 15, 15, 15, 15, 15, 15
as1core1:Loopback0, 3, 3, 3, 3, 3, 3, 3, 3
as1border2:GigabitEthernet1/0, 5, 5, 5, 5, 5, 5, 5, 5
