interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface
as2dist1:GigabitEthernet2/0, 13, 0, 3, 6, 13, 33
as2core2:Loopback0, 13, 0, 3, 7, 13, 35
as2dist2:GigabitEthernet2/0, 13, 0, 3, 7, 13, 34
as3border2:GigabitEthernet1/0, 13, 0, 2, 3, 11, 24
as2dept1:GigabitEthernet1/0, 13, 0, 3, 7, 13, 34
as2core1:GigabitEthernet0/0, 13, 0, 2, 2, 7, 13
as2core1:Loopback0, 13, 0, 2, 2, 7, 13
as2core1:GigabitEthernet3/0, 13, 0, 3, 7, 7, 21
as3border1:Loopback0, 13, 0, 3, 4, 13, 28
as2dept1:GigabitEthernet2/0, 13, 0, 2, 2, 12, 27
as1core1:GigabitEthernet0/0, 13, 0, 2, 2, 10, 25
as2border2:Loopback0, 13, 0, 4, 6, 13, 37
as1border2:GigabitEthernet0/0, 13, 0, 3, 4, 13, 33
as3border1:GigabitEthernet0/0, 13, 0, 4, 7, 12, 34
as2core2:GigabitEthernet1/0, 13, 0, 3, 7, 13, 33
as3core1:GigabitEthernet1/0, 13, 0, 2, 2, 11, 25
as2core2:GigabitEthernet2/0, 13, 0, 2, 7, 13, 33
as2dist2:GigabitEthernet1/0, 13, 0, 3, 7, 7, 21
as2border2:GigabitEthernet0/0, 13, 0, 4, 8, 13, 36
as2core1:GigabitEthernet2/0, 13, 0, 3, 7, 13, 34
as2border1:GigabitEthernet2/0, 13, 0, 3, 7, 13, 33
as2border2:GigabitEthernet2/0, 13, 0, 4, 6, 13, 35
as2dept1:GigabitEthernet0/0, 13, 0, 1, 6, 12, 25
as1border2:Loopback0, 13, 0, 2, 2, 13, 30
as1core1:GigabitEthernet1/0, 13, 0, 2, 2, 11, 26
as3border2:Loopback0, 13, 0, 3, 4, 13, 28
as2border1:Loopback0, 13, 0, 2, 2, 13, 30
as1border2:GigabitEthernet2/0, 13, 0, 2, 2, 12, 26
as1border1:Loopback0, 13, 0, 2, 2, 12, 28
as2dist1:GigabitEthernet1/0, 13, 0, 3, 7, 13, 34
as2dist2:GigabitEthernet0/0, 13, 0, 3, 7, 13, 33
as2dist1:Loopback0, 13, 0, 3, 7, 13, 35
as2core2:GigabitEthernet3/0, 13, 0, 3, 7, 13, 34
as1border1:GigabitEthernet1/0, 13, 0, 2, 2, 12, 28
as3border2:GigabitEthernet0/0, 13, 0, 3, 4, 13, 33
as2dist2:Loopback0, 13, 0, 3, 7, 7, 22
as3border1:GigabitEthernet1/0, 13, 0, 4, 8, 13, 35
as2dept1:Loopback0, 13, 0, 1, 7, 13, 31
as2border1:GigabitEthernet1/0, 13, 0, 2, 2, 7, 13
as3core1:Loopback0, 13, 0, 3, 4, 13, 28
as1border2:GigabitEthernet1/0, 13, 0, 3, 4, 10, 24
as2border1:GigabitEthernet0/0, 13, 0, 2, 2, 12, 28
as2dist1:GigabitEthernet0/0, 13, 0, 3, 7, 7, 20
as3core1:GigabitEthernet0/0, 13, 0, 2, 2, 10, 24
as2core1:GigabitEthernet1/0, 13, 0, 4, 6, 13, 35
as1border1:GigabitEthernet0/0, 13, 0, 2, 2, 11, 27
as2dept1:GigabitEthernet3/0, 13, 0, 2, 2, 12, 27
as2border2:GigabitEthernet1/0, 13, 0, 3, 7, 13, 33
as2core2:GigabitEthernet0/0, 13, 0, 3, 7, 13, 33
as1core1:Loopback0, 13, 0, 2, 2, 13, 30
