interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
r3:GigabitEthernet0/0,2,2,2,,2,,2,,,,
r1:GigabitEthernet0/0,2,2,2,,2,,2,,,,
esw1:Vlan10,2,2,2,,2,,2,,,,
r3:GigabitEthernet1/0,2,2,2,,2,,2,,,,
r2:GigabitEthernet1/0,2,2,2,,2,,2,,,,
esw1:Vlan30,2,2,2,,2,,2,,,,
esw2:FastEthernet1/0,2,2,2,,2,,2,,,,
isp:GigabitEthernet0/0,2,2,2,,2,,2,,,,
r1:GigabitEthernet1/0,2,2,2,,2,,2,,,,
esw1:Vlan1,2,2,2,,2,,2,,,,
r2:GigabitEthernet0/0,2,2,2,,2,,2,,,,
esw2:FastEthernet1/1,2,2,2,,2,,2,,,,
esw1:Vlan20,2,2,2,,2,,2,,,,
esw1:FastEthernet1/3,2,2,2,,2,,2,,,,
isp:GigabitEthernet2/0,2,2,2,,2,,2,,,,
r2:GigabitEthernet2/0,2,2,2,,2,,2,,,,
isp:GigabitEthernet1/0,2,2,2,,2,,2,,,,
