interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
r3:GigabitEthernet0/0, 9, 2, 3,, 5,, 5,,,,
r1:GigabitEthernet0/0, 9, 2, 3,, 4,, 4,,,,
esw1:Vlan10, 9, 2, 3,, 5,, 5,,,,
r3:GigabitEthernet1/0, 9, 2, 3,, 5,, 5,,,,
r2:GigabitEthernet1/0, 9, 2, 3,, 5,, 5,,,,
esw1:Vlan30, 9, 2, 3,, 4,, 4,,,,
esw2:FastEthernet1/0, 9, 2, 3,, 4,, 4,,,,
isp:GigabitEthernet0/0, 9, 2, 3,, 4,, 4,,,,
r1:GigabitEthernet1/0, 9, 2, 3,, 4,, 4,,,,
esw1:Vlan1, 9, 2, 3,, 5,, 5,,,,
r2:GigabitEthernet0/0, 9, 2, 3,, 5,, 5,,,,
esw2:FastEthernet1/1, 9, 2, 3,, 4,, 4,,,,
esw1:Vlan20, 9, 2, 3,, 5,, 5,,,,
esw1:FastEthernet1/3, 9, 2, 3,, 4,, 4,,,,
isp:GigabitEthernet2/0, 9, 2, 3,, 4,, 4,,,,
r2:GigabitEthernet2/0, 9, 2, 3,, 5,, 5,,,,
isp:GigabitEthernet1/0, 9, 2, 3,, 5,, 5,,,,
