interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
r3:GigabitEthernet0/0, 108, 0, 37,, 52,, 52,,,,
r1:GigabitEthernet0/0, 108, 0, 37,, 57,, 57,,,,
esw1:Vlan10, 108, 0, 37,, 57,, 57,,,,
r3:GigabitEthernet1/0, 108, 0, 37,, 57,, 57,,,,
r2:GigabitEthernet1/0, 108, 0, 37,, 52,, 52,,,,
esw1:Vlan30, 108, 0, 37,, 57,, 57,,,,
esw2:FastEthernet1/0, 108, 0, 37,, 57,, 57,,,,
isp:GigabitEthernet0/0, 108, 0, 37,, 57,, 57,,,,
r1:GigabitEthernet1/0, 108, 0, 37,, 57,, 57,,,,
esw1:Vlan1, 108, 0, 37,, 57,, 57,,,,
r2:GigabitEthernet0/0, 108, 0, 37,, 47,, 47,,,,
esw2:FastEthernet1/1, 108, 0, 20,, 57,, 57,,,,
esw1:Vlan20, 108, 0, 37,, 57,, 57,,,,
esw1:FastEthernet1/3, 108, 0, 37,, 57,, 57,,,,
isp:GigabitEthernet2/0, 108, 0, 37,, 57,, 57,,,,
r2:GigabitEthernet2/0, 108, 0, 37,, 57,, 57,,,,
isp:GigabitEthernet1/0, 108, 0, 37,, 47,, 47,,,,
