interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
r3:GigabitEthernet0/0, 108, 0, 20,, 52,, 52,,,,
r1:GigabitEthernet0/0, 108, 0, 20,, 20,, 20,,,,
esw1:Vlan10, 108, 0, 20,, 57,, 57,,,,
r3:GigabitEthernet1/0, 108, 0, 20,, 57,, 57,,,,
r2:GigabitEthernet1/0, 108, 0, 20,, 52,, 52,,,,
esw1:Vlan30, 108, 0, 20,, 57,, 57,,,,
esw2:FastEthernet1/0, 108, 0, 20,, 40,, 40,,,,
isp:GigabitEthernet0/0, 108, 0, 20,, 25,, 25,,,,
r1:GigabitEthernet1/0, 108, 0, 20,, 25,, 25,,,,
esw1:Vlan1, 108, 0, 20,, 57,, 57,,,,
r2:GigabitEthernet0/0, 108, 0, 20,, 47,, 47,,,,
esw2:FastEthernet1/1, 108, 0, 20,, 57,, 57,,,,
esw1:Vlan20, 108, 0, 20,, 57,, 57,,,,
esw1:FastEthernet1/3, 108, 0, 20,, 20,, 20,,,,
isp:GigabitEthernet2/0, 108, 0, 20,, 40,, 40,,,,
r2:GigabitEthernet2/0, 108, 0, 20,, 57,, 57,,,,
isp:GigabitEthernet1/0, 108, 0, 20,, 47,, 47,,,,
