interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
r3:GigabitEthernet0/0, 18, 0, 2,, 10,, 10,,,,
r1:GigabitEthernet0/0, 18, 0, 2,, 5,, 5,,,,
esw1:Vlan10, 18, 0, 2,, 11,, 11,,,,
r3:GigabitEthernet1/0, 18, 0, 2,, 11,, 11,,,,
r2:GigabitEthernet1/0, 18, 0, 2,, 10,, 10,,,,
esw1:Vlan30, 18, 0, 2,, 10,, 10,,,,
esw2:FastEthernet1/0, 18, 0, 2,, 9,, 9,,,,
isp:GigabitEthernet0/0, 18, 0, 2,, 6,, 6,,,,
r1:GigabitEthernet1/0, 18, 0, 2,, 6,, 6,,,,
esw1:Vlan1, 18, 0, 2,, 11,, 11,,,,
r2:GigabitEthernet0/0, 18, 0, 2,, 9,, 9,,,,
esw2:FastEthernet1/1, 18, 0, 2,, 10,, 10,,,,
esw1:Vlan20, 18, 0, 2,, 10,, 11,,,,
esw1:FastEthernet1/3, 18, 0, 2,, 5,, 5,,,,
isp:GigabitEthernet2/0, 18, 0, 2,, 9,, 9,,,,
r2:GigabitEthernet2/0, 18, 0, 2,, 11,, 11,,,,
isp:GigabitEthernet1/0, 18, 0, 2,, 9,, 9,,,,
