interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
r3:GigabitEthernet0/0, 1, 0, 0,, 0,, 0,,,,
r1:GigabitEthernet0/0, 1, 0, 0,, 0,, 0,,,,
esw1:Vlan10, 1, 0, 1,, 1,, 1,,,,
r3:GigabitEthernet1/0, 1, 0, 0,, 1,, 1,,,,
r2:GigabitEthernet1/0, 1, 0, 0,, 1,, 1,,,,
esw1:Vlan30, 1, 0, 1,, 1,, 1,,,,
esw2:FastEthernet1/0, 1, 0, 0,, 0,, 0,,,,
isp:GigabitEthernet0/0, 1, 0, 0,, 0,, 0,,,,
r1:GigabitEthernet1/0, 1, 0, 0,, 1,, 1,,,,
esw1:Vlan1, 1, 0, 1,, 1,, 1,,,,
r2:GigabitEthernet0/0, 1, 0, 0,, 0,, 0,,,,
esw2:FastEthernet1/1, 1, 0, 0,, 1,, 1,,,,
esw1:Vlan20, 1, 0, 1,, 1,, 1,,,,
esw1:FastEthernet1/3, 1, 0, 1,, 1,, 1,,,,
isp:GigabitEthernet2/0, 1, 0, 0,, 1,, 1,,,,
r2:GigabitEthernet2/0, 1, 0, 0,, 1,, 1,,,,
isp:GigabitEthernet1/0, 1, 0, 0,, 1,, 1,,,,
