type,subnet,specifics,source,Destinations,Environments,Status,Sources
PolicyType.Reachability,0.0.0.0,2,esw1,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,esw1,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,esw1,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,esw1,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,esw2,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,esw2,123 (10.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,isp,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc1,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc2,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc3,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc4,123 (172.16.1.2/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc5,123 (172.16.2.2/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc6,123 (172.16.1.3/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc7,123 (172.16.2.3/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc8,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,pc9,123 (10.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,r1,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,r2,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,r2,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,r3,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
PolicyType.Reachability,0.0.0.0,2,r3,123 (11.1.1.1/32),9,PolicyStatus.HOLDS,123
