interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed, # host exposed
r3:GigabitEthernet0/0, complete,5, base, 18, 1, 108, 15,9, 9
r3:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0,0, 5
r3:GigabitEthernet0/0, complete,5, neighbor, 4, 0, 37, 11,2, 5
r3:GigabitEthernet0/0, complete,5, heimdall, 10, 0, 52, 15,5, 5
r3:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 10, 0, 52, 15,5, 5
r3:GigabitEthernet0/0, random-2,2, base, 18, 1, 108, 15,9, 9
r3:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0, 2
r3:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 20, 8,1, 3
r3:GigabitEthernet0/0, random-2,2, heimdall, 10, 0, 52, 15,5, 5
r3:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 10, 0, 52, 15,5, 5
r1:GigabitEthernet0/0, complete,5, base, 18, 1, 108, 9,9, 9
r1:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0,0, 5
r1:GigabitEthernet0/0, complete,5, neighbor, 4, 0, 37, 3,2, 5
r1:GigabitEthernet0/0, complete,5, heimdall, 11, 1, 57, 9,6, 5
r1:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 11, 1, 57, 9,6, 5
r1:GigabitEthernet0/0, random-2,2, base, 18, 1, 108, 9,9, 9
r1:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0, 2
r1:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 20, 0,1, 3
r1:GigabitEthernet0/0, random-2,2, heimdall, 5, 0, 20, 0,1, 4
r1:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 5, 0, 20, 0,1, 4
esw1:Vlan10, complete,5, base, 18, 1, 108, 15,9, 9
esw1:Vlan10, complete,5, empty, 0, 0, 0, 0,0, 5
esw1:Vlan10, complete,5, neighbor, 4, 1, 37, 9,2, 5
esw1:Vlan10, complete,5, heimdall, 11, 1, 57, 15,6, 5
esw1:Vlan10, complete,5, heimdall_end_nodes, 11, 1, 57, 15,6, 5
esw1:Vlan10, random-2,2, base, 18, 1, 108, 15,9, 9
esw1:Vlan10, random-2,2, empty, 0, 0, 0, 0,0, 2
esw1:Vlan10, random-2,2, neighbor, 2, 1, 20, 6,1, 3
esw1:Vlan10, random-2,2, heimdall, 11, 1, 57, 15,6, 5
esw1:Vlan10, random-2,2, heimdall_end_nodes, 11, 1, 57, 15,6, 5
r3:GigabitEthernet1/0, complete,5, base, 18, 1, 108, 17,9, 9
r3:GigabitEthernet1/0, complete,5, empty, 0, 0, 0, 0,0, 5
r3:GigabitEthernet1/0, complete,5, neighbor, 4, 0, 37, 11,2, 5
r3:GigabitEthernet1/0, complete,5, heimdall, 11, 1, 57, 17,6, 5
r3:GigabitEthernet1/0, complete,5, heimdall_end_nodes, 11, 1, 57, 17,6, 5
r3:GigabitEthernet1/0, random-2,2, base, 18, 1, 108, 17,9, 9
r3:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0, 2
r3:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 20, 8,1, 3
r3:GigabitEthernet1/0, random-2,2, heimdall, 11, 1, 57, 17,6, 5
r3:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 11, 1, 57, 17,6, 5
r2:GigabitEthernet1/0, complete,5, base, 18, 1, 108, 15,9, 9
r2:GigabitEthernet1/0, complete,5, empty, 0, 0, 0, 0,0, 5
r2:GigabitEthernet1/0, complete,5, neighbor, 4, 0, 37, 11,2, 5
r2:GigabitEthernet1/0, complete,5, heimdall, 10, 1, 52, 15,5, 5
r2:GigabitEthernet1/0, complete,5, heimdall_end_nodes, 10, 1, 52, 15,5, 5
r2:GigabitEthernet1/0, random-2,2, base, 18, 1, 108, 15,9, 9
r2:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0, 2
r2:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 20, 8,1, 3
r2:GigabitEthernet1/0, random-2,2, heimdall, 10, 1, 52, 15,5, 5
r2:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 10, 1, 52, 15,5, 5
esw1:Vlan30, complete,5, base, 18, 1, 108, 16,9, 9
esw1:Vlan30, complete,5, empty, 0, 0, 0, 0,0, 5
esw1:Vlan30, complete,5, neighbor, 4, 1, 37, 10,2, 5
esw1:Vlan30, complete,5, heimdall, 10, 1, 57, 16,6, 5
esw1:Vlan30, complete,5, heimdall_end_nodes, 11, 1, 57, 16,6, 5
esw1:Vlan30, random-2,2, base, 18, 1, 108, 16,9, 9
esw1:Vlan30, random-2,2, empty, 0, 0, 0, 0,0, 2
esw1:Vlan30, random-2,2, neighbor, 2, 1, 20, 7,1, 3
esw1:Vlan30, random-2,2, heimdall, 10, 1, 57, 16,6, 4
esw1:Vlan30, random-2,2, heimdall_end_nodes, 10, 1, 57, 16,6, 4
esw2:FastEthernet1/0, complete,5, base, 18, 1, 108, 14,9, 9
esw2:FastEthernet1/0, complete,5, empty, 0, 0, 0, 0,0, 5
esw2:FastEthernet1/0, complete,5, neighbor, 4, 1, 37, 8,2, 5
esw2:FastEthernet1/0, complete,5, heimdall, 11, 1, 57, 14,6, 5
esw2:FastEthernet1/0, complete,5, heimdall_end_nodes, 11, 1, 57, 14,6, 5
esw2:FastEthernet1/0, random-2,2, base, 18, 1, 108, 14,9, 9
esw2:FastEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0, 2
esw2:FastEthernet1/0, random-2,2, neighbor, 2, 0, 20, 8,1, 3
esw2:FastEthernet1/0, random-2,2, heimdall, 9, 0, 40, 14,5, 4
esw2:FastEthernet1/0, random-2,2, heimdall_end_nodes, 9, 0, 40, 14,5, 4
isp:GigabitEthernet0/0, complete,5, base, 18, 1, 108, 6,9, 9
isp:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0,0, 5
isp:GigabitEthernet0/0, complete,5, neighbor, 4, 0, 37, 1,2, 5
isp:GigabitEthernet0/0, complete,5, heimdall, 11, 1, 57, 6,6, 5
isp:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 11, 1, 57, 6,6, 5
isp:GigabitEthernet0/0, random-2,2, base, 18, 1, 108, 6,9, 9
isp:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0, 2
isp:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 20, 0,1, 3
isp:GigabitEthernet0/0, random-2,2, heimdall, 6, 0, 25, 0,2, 4
isp:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 6, 0, 25, 0,2, 4
r1:GigabitEthernet1/0, complete,5, base, 18, 1, 108, 8,9, 9
r1:GigabitEthernet1/0, complete,5, empty, 0, 0, 0, 0,0, 5
r1:GigabitEthernet1/0, complete,5, neighbor, 4, 0, 37, 3,2, 5
r1:GigabitEthernet1/0, complete,5, heimdall, 11, 1, 57, 8,6, 5
r1:GigabitEthernet1/0, complete,5, heimdall_end_nodes, 11, 1, 57, 8,6, 5
r1:GigabitEthernet1/0, random-2,2, base, 18, 1, 108, 8,9, 9
r1:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0, 2
r1:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 20, 0,1, 3
r1:GigabitEthernet1/0, random-2,2, heimdall, 6, 1, 25, 0,2, 4
r1:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 6, 1, 25, 0,2, 4
esw1:Vlan1, complete,5, base, 18, 1, 108, 15,9, 9
esw1:Vlan1, complete,5, empty, 0, 0, 0, 0,0, 5
esw1:Vlan1, complete,5, neighbor, 4, 1, 37, 9,2, 5
esw1:Vlan1, complete,5, heimdall, 11, 1, 57, 15,6, 5
esw1:Vlan1, complete,5, heimdall_end_nodes, 11, 1, 57, 15,6, 5
esw1:Vlan1, random-2,2, base, 18, 1, 108, 15,9, 9
esw1:Vlan1, random-2,2, empty, 0, 0, 0, 0,0, 2
esw1:Vlan1, random-2,2, neighbor, 2, 1, 20, 6,1, 3
esw1:Vlan1, random-2,2, heimdall, 11, 1, 57, 15,6, 5
esw1:Vlan1, random-2,2, heimdall_end_nodes, 11, 1, 57, 15,6, 5
r2:GigabitEthernet0/0, complete,5, base, 18, 1, 108, 13,9, 9
r2:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0,0, 5
r2:GigabitEthernet0/0, complete,5, neighbor, 4, 0, 37, 11,2, 5
r2:GigabitEthernet0/0, complete,5, heimdall, 9, 0, 47, 13,4, 5
r2:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 9, 0, 47, 13,4, 5
r2:GigabitEthernet0/0, random-2,2, base, 18, 1, 108, 13,9, 9
r2:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0, 2
r2:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 20, 8,1, 3
r2:GigabitEthernet0/0, random-2,2, heimdall, 9, 0, 47, 13,4, 5
r2:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 9, 0, 47, 13,4, 5
esw2:FastEthernet1/1, complete,5, base, 18, 1, 108, 16,9, 9
esw2:FastEthernet1/1, complete,5, empty, 0, 0, 0, 0,0, 5
esw2:FastEthernet1/1, complete,5, neighbor, 3, 0, 20, 8,1, 5
esw2:FastEthernet1/1, complete,5, heimdall, 10, 1, 57, 16,6, 5
esw2:FastEthernet1/1, complete,5, heimdall_end_nodes, 11, 1, 57, 16,6, 5
esw2:FastEthernet1/1, random-2,2, base, 18, 1, 108, 16,9, 9
esw2:FastEthernet1/1, random-2,2, empty, 0, 0, 0, 0,0, 2
esw2:FastEthernet1/1, random-2,2, neighbor, 2, 0, 20, 8,1, 3
esw2:FastEthernet1/1, random-2,2, heimdall, 10, 1, 57, 16,6, 4
