interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
as1border1:GigabitEthernet0/0, 60, 0, 15, 15, 55, 35, 35, 35, 35,,
as1border1:GigabitEthernet1/0, 68, 0, 23, 23, 63, 43, 43, 43, 43,,
as1border1:Loopback0, 60, 0, 15, 15, 55, 35, 35, 35, 35,,
as1border2:GigabitEthernet0/0, 70, 0, 27, 29, 70, 45, 50, 28, 28,,
as1border2:GigabitEthernet1/0, 59, 0, 16, 18, 52, 32, 32, 32, 32,,
as1border2:GigabitEthernet2/0, 67, 0, 14, 14, 67, 35, 47, 0, 0,,
as1border2:Loopback0, 65, 0, 16, 16, 65, 40, 45, 45, 45,,
as1core1:GigabitEthernet0/0, 59, 0, 10, 10, 52, 32, 32, 32, 32,,
as1core1:GigabitEthernet1/0, 60, 0, 15, 15, 55, 35, 35, 35, 35,,
as1core1:Loopback0, 64, 0, 18, 18, 64, 39, 44, 44, 44,,
as2border1:GigabitEthernet0/0, 68, 0, 23, 23, 63, 43, 43, 43, 43,,
as2border1:GigabitEthernet1/0, 60, 0, 17, 17, 36, 25, 36, 36, 36,,
as2border1:GigabitEthernet2/0, 70, 0, 38, 53, 70, 54, 70, 70, 70,,
as2border1:Loopback0, 61, 0, 23, 23, 61, 41, 41, 41, 41,,
as2border2:GigabitEthernet0/0, 66, 0, 22, 46, 66, 41, 66, 35, 35,,
as2border2:GigabitEthernet1/0, 70, 0, 38, 53, 70, 50, 70, 70, 70,,
as2border2:GigabitEthernet2/0, 58, 0, 19, 29, 58, 38, 58, 24, 24,,
as2border2:Loopback0, 64, 0, 22, 32, 64, 39, 64, 33, 33,,
as2core1:GigabitEthernet0/0, 60, 0, 17, 17, 36, 25, 36, 36, 36,,
as2core1:GigabitEthernet1/0, 58, 0, 19, 29, 58, 38, 58, 24, 24,,
as2core1:GigabitEthernet2/0, 70, 0, 45, 53, 70, 54, 70, 70, 70,,
as2core1:GigabitEthernet3/0, 70, 0, 41, 53, 53, 37, 53, 53, 53,,
as2core1:Loopback0, 41, 0, 13, 13, 22, 17, 22, 22, 22,,
as2core2:GigabitEthernet0/0, 70, 0, 38, 53, 70, 50, 70, 70, 70,,
as2core2:GigabitEthernet1/0, 70, 0, 38, 53, 70, 54, 70, 70, 70,,
as2core2:GigabitEthernet2/0, 70, 0, 37, 53, 70, 54, 70, 70, 70,,
as2core2:GigabitEthernet3/0, 70, 0, 38, 53, 70, 54, 70, 70, 70,,
as2core2:Loopback0, 65, 0, 33, 48, 65, 45, 65, 65, 65,,
as2dept1:GigabitEthernet0/0, 70, 0, 28, 48, 65, 45, 50, 50, 50,,
as2dept1:GigabitEthernet1/0, 70, 0, 38, 53, 70, 45, 70, 50, 50,,
as2dept1:GigabitEthernet2/0, 56, 0, 15, 15, 56, 31, 36, 36, 36,,
as2dept1:GigabitEthernet3/0, 56, 0, 15, 15, 56, 31, 36, 36, 36,,
as2dept1:Loopback0, 70, 0, 28, 53, 70, 45, 55, 55, 55,,
as2dist1:GigabitEthernet0/0, 70, 0, 41, 53, 53, 37, 53, 53, 53,,
as2dist1:GigabitEthernet1/0, 70, 0, 38, 53, 70, 54, 70, 70, 70,,
as2dist1:GigabitEthernet2/0, 70, 0, 38, 48, 70, 45, 70, 70, 70,,
as2dist1:Loopback0, 65, 0, 38, 48, 65, 45, 65, 65, 65,,
as2dist2:GigabitEthernet0/0, 70, 0, 41, 53, 70, 54, 70, 5, 5,,
as2dist2:GigabitEthernet1/0, 70, 0, 41, 53, 53, 37, 53, 53, 53,,
as2dist2:GigabitEthernet2/0, 70, 0, 38, 53, 70, 45, 70, 28, 28,,
as2dist2:Loopback0, 65, 0, 33, 48, 48, 28, 48, 48, 48,,
as3border1:GigabitEthernet0/0, 62, 0, 16, 42, 62, 37, 62, 35, 35,,
as3border1:GigabitEthernet1/0, 66, 0, 22, 46, 66, 41, 66, 35, 35,,
as3border1:Loopback0, 64, 0, 21, 23, 64, 35, 39, 39, 39,,
as3border2:GigabitEthernet0/0, 70, 0, 27, 29, 70, 45, 50, 28, 28,,
as3border2:GigabitEthernet1/0, 64, 0, 21, 23, 64, 30, 44, 0, 0,,
as3border2:Loopback0, 66, 0, 23, 25, 66, 37, 41, 41, 41,,
as3core1:GigabitEthernet0/0, 64, 0, 15, 15, 62, 30, 42, 42, 42,,
as3core1:GigabitEthernet1/0, 62, 0, 19, 19, 62, 32, 42, 42, 42,,
as3core1:Loopback0, 62, 0, 19, 21, 62, 33, 37, 37, 37,,
