interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
as1border1:GigabitEthernet0/0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as1border1:GigabitEthernet1/0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as1border1:Loopback0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as1border2:GigabitEthernet0/0, 17, 2, 2, 2, 9, 13, 9, 4, 4,,
as1border2:GigabitEthernet1/0, 17, 2, 2, 2, 8, 12, 8, 8, 8,,
as1border2:GigabitEthernet2/0, 17, 2, 2, 2, 6, 8, 6, 2, 2,,
as1border2:Loopback0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as1core1:GigabitEthernet0/0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as1core1:GigabitEthernet1/0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as1core1:Loopback0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as2border1:GigabitEthernet0/0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as2border1:GigabitEthernet1/0, 17, 2, 2, 2, 5, 9, 5, 4, 4,,
as2border1:GigabitEthernet2/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2border1:Loopback0, 17, 2, 2, 2, 9, 13, 9, 8, 8,,
as2border2:GigabitEthernet0/0, 17, 2, 2, 3, 16, 20, 16, 5, 5,,
as2border2:GigabitEthernet1/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2border2:GigabitEthernet2/0, 17, 2, 2, 2, 16, 20, 16, 3, 3,,
as2border2:Loopback0, 17, 2, 2, 2, 16, 20, 16, 5, 5,,
as2core1:GigabitEthernet0/0, 17, 2, 2, 2, 5, 9, 5, 4, 4,,
as2core1:GigabitEthernet1/0, 17, 2, 2, 2, 16, 20, 16, 3, 3,,
as2core1:GigabitEthernet2/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2core1:GigabitEthernet3/0, 17, 2, 2, 4, 12, 16, 12, 11, 11,,
as2core1:Loopback0, 17, 2, 2, 2, 5, 9, 5, 4, 4,,
as2core2:GigabitEthernet0/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2core2:GigabitEthernet1/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2core2:GigabitEthernet2/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2core2:GigabitEthernet3/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2core2:Loopback0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2dept1:GigabitEthernet0/0, 17, 2, 2, 4, 8, 12, 8, 6, 6,,
as2dept1:GigabitEthernet1/0, 17, 2, 2, 5, 14, 18, 14, 8, 8,,
as2dept1:GigabitEthernet2/0, 17, 2, 2, 2, 5, 9, 5, 4, 4,,
as2dept1:GigabitEthernet3/0, 17, 2, 2, 2, 7, 11, 7, 6, 6,,
as2dept1:Loopback0, 17, 2, 2, 5, 10, 14, 10, 8, 8,,
as2dist1:GigabitEthernet0/0, 17, 2, 2, 4, 12, 16, 12, 11, 11,,
as2dist1:GigabitEthernet1/0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2dist1:GigabitEthernet2/0, 17, 2, 2, 4, 12, 16, 12, 11, 11,,
as2dist1:Loopback0, 17, 2, 2, 5, 14, 18, 14, 13, 13,,
as2dist2:GigabitEthernet0/0, 17, 2, 2, 5, 13, 17, 13, 2, 2,,
as2dist2:GigabitEthernet1/0, 17, 2, 2, 4, 12, 16, 12, 11, 11,,
as2dist2:GigabitEthernet2/0, 17, 2, 2, 5, 13, 17, 13, 2, 2,,
as2dist2:Loopback0, 17, 2, 2, 5, 12, 16, 12, 11, 11,,
as3border1:GigabitEthernet0/0, 17, 2, 2, 3, 16, 20, 16, 5, 5,,
as3border1:GigabitEthernet1/0, 17, 2, 2, 3, 16, 20, 16, 5, 5,,
as3border1:Loopback0, 17, 2, 2, 2, 6, 10, 6, 5, 5,,
as3border2:GigabitEthernet0/0, 17, 2, 2, 2, 9, 13, 9, 4, 4,,
as3border2:GigabitEthernet1/0, 17, 2, 2, 2, 7, 11, 7, 2, 2,,
as3border2:Loopback0, 17, 2, 2, 2, 6, 10, 6, 5, 5,,
as3core1:GigabitEthernet0/0, 17, 2, 2, 2, 7, 11, 7, 6, 6,,
as3core1:GigabitEthernet1/0, 17, 2, 2, 2, 7, 11, 7, 6, 6,,
as3core1:Loopback0, 17, 2, 2, 2, 6, 10, 6, 5, 5,,
