interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
as1core1:GigabitEthernet1/0, 55, 0, 19, 23, 28, 11, 28,,,, 28
as1core1:GigabitEthernet0/0, 55, 0, 15, 19, 24, 10, 24,,,, 24
as3core1:GigabitEthernet0/0, 55, 0, 13, 17, 22, 10, 22,,,, 22
as1border1:GigabitEthernet1/0, 55, 0, 13, 17, 27, 11, 27,,,, 27
as3border1:GigabitEthernet0/0, 55, 0, 15, 15, 23, 9, 23,,,, 23
as2core1:GigabitEthernet2/0, 55, 0, 0, 0, 0, 0, 0,,,, 0
as3border2:Loopback0, 55, 0, 15, 19, 32, 12, 32,,,, 32
as3border1:Loopback0, 55, 0, 15, 19, 32, 12, 32,,,, 32
as3border2:GigabitEthernet0/0, 55, 0, 19, 27, 37, 14, 37,,,, 37
as1border2:Loopback0, 55, 0, 13, 17, 32, 13, 32,,,, 32
as3border2:GigabitEthernet1/0, 55, 0, 19, 27, 28, 10, 28,,,, 28
as1border2:GigabitEthernet1/0, 55, 0, 19, 27, 28, 10, 28,,,, 28
as1border1:Loopback0, 55, 0, 13, 17, 27, 11, 27,,,, 27
as2core1:GigabitEthernet3/0, 55, 0, 0, 0, 0, 0, 0,,,, 0
as1border1:GigabitEthernet0/0, 55, 0, 13, 13, 23, 10, 23,,,, 23
as3core1:GigabitEthernet1/0, 55, 0, 19, 23, 28, 11, 28,,,, 28
as1border2:GigabitEthernet2/0, 55, 0, 13, 17, 32, 12, 32,,,, 32
as2core2:GigabitEthernet2/0, 55, 0, 0, 0, 0, 0, 0,,,, 0
as3border1:GigabitEthernet1/0, 55, 0, 15, 19, 27, 10, 27,,,, 27
as3core1:Loopback0, 55, 0, 15, 19, 32, 12, 32,,,, 32
as2core2:GigabitEthernet3/0, 55, 0, 0, 0, 0, 0, 0,,,, 0
as1core1:Loopback0, 55, 0, 13, 17, 32, 13, 32,,,, 32
as1border2:GigabitEthernet0/0, 55, 0, 19, 27, 37, 14, 37,,,, 37
