interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
as1core1:GigabitEthernet1/0, 13, 0, 4, 5, 6, 11, 6,,,, 6
as1core1:GigabitEthernet0/0, 13, 0, 3, 4, 5, 10, 5,,,, 5
as3core1:GigabitEthernet0/0, 13, 0, 3, 4, 5, 10, 5,,,, 5
as1border1:GigabitEthernet1/0, 13, 0, 2, 2, 6, 11, 6,,,, 6
as3border1:GigabitEthernet0/0, 13, 0, 3, 3, 5, 9, 5,,,, 5
as2core1:GigabitEthernet2/0, 13, 0, 0, 0, 0, 0, 0,,,, 0
as3border2:Loopback0, 13, 0, 3, 4, 7, 12, 7,,,, 7
as3border1:Loopback0, 13, 0, 3, 4, 7, 12, 7,,,, 7
as3border2:GigabitEthernet0/0, 13, 0, 3, 4, 8, 14, 8,,,, 8
as1border2:Loopback0, 13, 0, 3, 4, 7, 13, 7,,,, 7
as3border2:GigabitEthernet1/0, 13, 0, 3, 4, 6, 10, 6,,,, 6
as1border2:GigabitEthernet1/0, 13, 0, 3, 4, 5, 9, 5,,,, 5
as1border1:Loopback0, 13, 0, 3, 4, 6, 11, 6,,,, 6
as2core1:GigabitEthernet3/0, 13, 0, 0, 0, 0, 0, 0,,,, 0
as1border1:GigabitEthernet0/0, 13, 0, 3, 3, 5, 10, 5,,,, 5
as3core1:GigabitEthernet1/0, 13, 0, 3, 3, 6, 11, 6,,,, 6
as1border2:GigabitEthernet2/0, 13, 0, 3, 4, 7, 12, 7,,,, 7
as2core2:GigabitEthernet2/0, 13, 0, 0, 0, 0, 0, 0,,,, 0
as3border1:GigabitEthernet1/0, 13, 0, 3, 4, 6, 10, 6,,,, 6
as3core1:Loopback0, 13, 0, 3, 4, 7, 12, 7,,,, 7
as2core2:GigabitEthernet3/0, 13, 0, 0, 0, 0, 0, 0,,,, 0
as1core1:Loopback0, 13, 0, 3, 4, 7, 13, 7,,,, 7
as1border2:GigabitEthernet0/0, 13, 0, 2, 3, 4, 7, 4,,,, 4
