interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies
as1border2:GigabitEthernet0/0, complete,5, base, 13, 1, 55, 66
as1border2:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0
as1border2:GigabitEthernet0/0, complete,5, neighbor, 4, 1, 19, 31
as1border2:GigabitEthernet0/0, complete,5, crystal-net, 6, 1, 27, 35
as1border2:GigabitEthernet0/0, complete,5, heimdall, 8, 1, 37, 44
as1border2:GigabitEthernet0/0, complete,5, heimdall_interface, 14, 0, 14, 35
as1border2:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 8, 1, 37, 44
as1border2:GigabitEthernet0/0, complete,5, heimdall_intersect4, 8, 1, 37, 44
as1border2:GigabitEthernet0/0, random-2,2, base, 13, 1, 55, 66
as1border2:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0
as1border2:GigabitEthernet0/0, random-2,2, neighbor, 3, 1, 13, 25
as1border2:GigabitEthernet0/0, random-2,2, crystal-net, 4, 1, 17, 27
as1border2:GigabitEthernet0/0, random-2,2, heimdall, 5, 1, 22, 34
as1border2:GigabitEthernet0/0, random-2,2, heimdall_interface, 8, 0, 8, 19
as1border2:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 5, 1, 22, 34
as1border2:GigabitEthernet0/0, random-2,2, heimdall_intersect4, 5, 1, 22, 34
as1border2:Loopback0, complete,3, base, 13, 1, 55, 61
as1border2:Loopback0, complete,3, empty, 0, 0, 0, 0
as1border2:Loopback0, complete,3, neighbor, 3, 1, 13, 20
as1border2:Loopback0, complete,3, crystal-net, 4, 1, 17, 22
as1border2:Loopback0, complete,3, heimdall, 7, 1, 32, 37
as1border2:Loopback0, complete,3, heimdall_interface, 13, 0, 13, 28
as1border2:Loopback0, complete,3, heimdall_end_nodes, 7, 1, 32, 37
as1border2:Loopback0, complete,3, heimdall_intersect4, 7, 1, 32, 37
as1border2:Loopback0, random-2,2, base, 13, 1, 55, 61
as1border2:Loopback0, random-2,2, empty, 0, 0, 0, 0
as1border2:Loopback0, random-2,2, neighbor, 3, 1, 13, 20
as1border2:Loopback0, random-2,2, crystal-net, 4, 1, 17, 22
as1border2:Loopback0, random-2,2, heimdall, 7, 1, 32, 37
as1border2:Loopback0, random-2,2, heimdall_interface, 13, 0, 13, 28
as1border2:Loopback0, random-2,2, heimdall_end_nodes, 7, 1, 32, 37
as1border2:Loopback0, random-2,2, heimdall_intersect4, 7, 1, 32, 37
as1core1:GigabitEthernet0/0, complete,5, base, 13, 1, 55, 55
as1core1:GigabitEthernet0/0, complete,5, empty, 0, 0, 0, 0
as1core1:GigabitEthernet0/0, complete,5, neighbor, 3, 0, 15, 16
as1core1:GigabitEthernet0/0, complete,5, crystal-net, 4, 0, 19, 18
as1core1:GigabitEthernet0/0, complete,5, heimdall, 5, 0, 24, 20
as1core1:GigabitEthernet0/0, complete,5, heimdall_interface, 10, 0, 10, 18
as1core1:GigabitEthernet0/0, complete,5, heimdall_end_nodes, 5, 0, 24, 20
as1core1:GigabitEthernet0/0, complete,5, heimdall_intersect4, 5, 0, 24, 20
as1core1:GigabitEthernet0/0, random-2,2, base, 13, 1, 55, 55
as1core1:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0
as1core1:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 9, 10
as1core1:GigabitEthernet0/0, random-2,2, crystal-net, 2, 0, 9, 10
as1core1:GigabitEthernet0/0, random-2,2, heimdall, 4, 0, 19, 18
as1core1:GigabitEthernet0/0, random-2,2, heimdall_interface, 8, 0, 8, 16
as1core1:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 4, 0, 19, 18
as1core1:GigabitEthernet0/0, random-2,2, heimdall_intersect4, 4, 0, 19, 18
as3core1:GigabitEthernet1/0, complete,5, base, 13, 1, 55, 58
as3core1:GigabitEthernet1/0, complete,5, empty, 0, 0, 0, 0
as3core1:GigabitEthernet1/0, complete,5, neighbor, 4, 1, 19, 23
as3core1:GigabitEthernet1/0, complete,5, crystal-net, 5, 1, 23, 25
as3core1:GigabitEthernet1/0, complete,5, heimdall, 6, 1, 28, 32
as3core1:GigabitEthernet1/0, complete,5, heimdall_interface, 11, 0, 11, 25
as3core1:GigabitEthernet1/0, complete,5, heimdall_end_nodes, 6, 1, 28, 32
as3core1:GigabitEthernet1/0, complete,5, heimdall_intersect4, 6, 1, 28, 32
as3core1:GigabitEthernet1/0, random-2,2, base, 13, 1, 55, 58
as3core1:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0
as3core1:GigabitEthernet1/0, random-2,2, neighbor, 3, 0, 13, 23
as3core1:GigabitEthernet1/0, random-2,2, crystal-net, 4, 0, 17, 25
as3core1:GigabitEthernet1/0, random-2,2, heimdall, 6, 1, 28, 32
as3core1:GigabitEthernet1/0, random-2,2, heimdall_interface, 11, 0, 11, 25
as3core1:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 6, 1, 28, 32
as3core1:GigabitEthernet1/0, random-2,2, heimdall_intersect4, 6, 1, 28, 32
as3core1:Loopback0, complete,2, base, 13, 1, 55, 58
as3core1:Loopback0, complete,2, empty, 0, 0, 0, 0
as3core1:Loopback0, complete,2, neighbor, 3, 1, 15, 19
as3core1:Loopback0, complete,2, crystal-net, 4, 1, 19, 21
as3core1:Loopback0, complete,2, heimdall, 7, 1, 32, 29
as3core1:Loopback0, complete,2, heimdall_interface, 12, 0, 12, 25
as3core1:Loopback0, complete,2, heimdall_end_nodes, 7, 1, 32, 29
as3core1:Loopback0, complete,2, heimdall_intersect4, 7, 1, 32, 29
as3core1:Loopback0, random-2,2, base, 13, 1, 55, 58
as3core1:Loopback0, random-2,2, empty, 0, 0, 0, 0
as3core1:Loopback0, random-2,2, neighbor, 3, 1, 15, 19
as3core1:Loopback0, random-2,2, crystal-net, 4, 1, 19, 21
as3core1:Loopback0, random-2,2, heimdall, 7, 1, 32, 29
as3core1:Loopback0, random-2,2, heimdall_interface, 12, 0, 12, 25
as3core1:Loopback0, random-2,2, heimdall_end_nodes, 7, 1, 32, 29
as3core1:Loopback0, random-2,2, heimdall_intersect4, 7, 1, 32, 29
as2core1:GigabitEthernet3/0, complete,1, base, 13, 1, 55, 66
as2core1:GigabitEthernet3/0, complete,1, empty, 0, 0, 0, 0
as2core1:GigabitEthernet3/0, complete,1, neighbor, 0, 0, 0, 0
as2core1:GigabitEthernet3/0, complete,1, crystal-net, 0, 0, 0, 0
