interface removed, # affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies
as2dist1:GigabitEthernet2/0, 2, base, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 2, empty, 0, 0, 0, 0
as2dist1:GigabitEthernet2/0, 2, neighbor, 3, 0, 17, 38
as2dist1:GigabitEthernet2/0, 2, crystal-net, 6, 0, 33, 48
as2dist1:GigabitEthernet2/0, 2, heimdall, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 2, heimdall_interface, 33, 0, 32, 45
as2dist1:GigabitEthernet2/0, 2, heimdall_end_nodes, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 2, heimdall_intersect, 13, 1, 65, 70
as2core2:Loopback0, 2, base, 13, 1, 65, 65
as2core2:Loopback0, 2, empty, 0, 0, 0, 0
as2core2:Loopback0, 2, neighbor, 3, 1, 17, 33
as2core2:Loopback0, 2, crystal-net, 7, 1, 38, 48
as2core2:Loopback0, 2, heimdall, 13, 1, 65, 65
as2core2:Loopback0, 2, heimdall_interface, 35, 0, 34, 45
as2core2:Loopback0, 2, heimdall_end_nodes, 13, 1, 65, 65
as2core2:Loopback0, 2, heimdall_intersect, 13, 1, 65, 65
as2dist2:GigabitEthernet2/0, 2, base, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 2, empty, 0, 0, 0, 0
as2dist2:GigabitEthernet2/0, 2, neighbor, 3, 1, 17, 38
as2dist2:GigabitEthernet2/0, 2, crystal-net, 7, 1, 38, 53
as2dist2:GigabitEthernet2/0, 2, heimdall, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 2, heimdall_interface, 34, 0, 33, 45
as2dist2:GigabitEthernet2/0, 2, heimdall_end_nodes, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 2, heimdall_intersect, 1, 0, 6, 28
as3border2:GigabitEthernet1/0, 2, base, 13, 1, 65, 64
as3border2:GigabitEthernet1/0, 2, empty, 0, 0, 0, 0
as3border2:GigabitEthernet1/0, 2, neighbor, 2, 0, 11, 21
as3border2:GigabitEthernet1/0, 2, crystal-net, 3, 0, 15, 23
as3border2:GigabitEthernet1/0, 2, heimdall, 11, 1, 56, 64
as3border2:GigabitEthernet1/0, 2, heimdall_interface, 24, 0, 23, 30
as3border2:GigabitEthernet1/0, 2, heimdall_end_nodes, 7, 1, 34, 44
as3border2:GigabitEthernet1/0, 2, heimdall_intersect, 0, 0, 0, 0
as2dept1:GigabitEthernet1/0, 2, base, 13, 1, 65, 70
as2dept1:GigabitEthernet1/0, 2, empty, 0, 0, 0, 0
as2dept1:GigabitEthernet1/0, 2, neighbor, 3, 1, 17, 38
as2dept1:GigabitEthernet1/0, 2, crystal-net, 7, 1, 38, 53
as2dept1:GigabitEthernet1/0, 2, heimdall, 13, 1, 65, 70
as2dept1:GigabitEthernet1/0, 2, heimdall_interface, 34, 0, 33, 45
as2dept1:GigabitEthernet1/0, 2, heimdall_end_nodes, 13, 1, 65, 70
as2dept1:GigabitEthernet1/0, 2, heimdall_intersect, 8, 1, 38, 50
as2core1:GigabitEthernet0/0, 2, base, 13, 1, 65, 60
as2core1:GigabitEthernet0/0, 2, empty, 0, 0, 0, 0
as2core1:GigabitEthernet0/0, 2, neighbor, 2, 0, 9, 17
as2core1:GigabitEthernet0/0, 2, crystal-net, 2, 0, 9, 17
as2core1:GigabitEthernet0/0, 2, heimdall, 7, 0, 32, 36
as2core1:GigabitEthernet0/0, 2, heimdall_interface, 13, 0, 13, 25
as2core1:GigabitEthernet0/0, 2, heimdall_end_nodes, 7, 0, 32, 36
as2core1:GigabitEthernet0/0, 2, heimdall_intersect, 7, 0, 32, 36
as2core1:Loopback0, 2, base, 13, 1, 65, 41
as2core1:Loopback0, 2, empty, 0, 0, 0, 0
as2core1:Loopback0, 2, neighbor, 2, 0, 9, 13
as2core1:Loopback0, 2, crystal-net, 2, 0, 9, 13
as2core1:Loopback0, 2, heimdall, 7, 0, 32, 22
as2core1:Loopback0, 2, heimdall_interface, 13, 0, 13, 17
as2core1:Loopback0, 2, heimdall_end_nodes, 7, 0, 32, 22
as2core1:Loopback0, 2, heimdall_intersect, 7, 0, 32, 22
as2core1:GigabitEthernet3/0, 2, base, 13, 1, 65, 70
as2core1:GigabitEthernet3/0, 2, empty, 0, 0, 0, 0
as2core1:GigabitEthernet3/0, 2, neighbor, 3, 0, 17, 41
as2core1:GigabitEthernet3/0, 2, crystal-net, 7, 1, 38, 53
as2core1:GigabitEthernet3/0, 2, heimdall, 7, 1, 38, 53
as2core1:GigabitEthernet3/0, 2, heimdall_interface, 21, 0, 21, 37
as2core1:GigabitEthernet3/0, 2, heimdall_end_nodes, 7, 1, 38, 53
as2core1:GigabitEthernet3/0, 2, heimdall_intersect, 7, 1, 38, 53
as3border1:Loopback0, 2, base, 13, 1, 65, 64
as3border1:Loopback0, 2, empty, 0, 0, 0, 0
as3border1:Loopback0, 2, neighbor, 3, 0, 15, 21
as3border1:Loopback0, 2, crystal-net, 4, 1, 19, 23
as3border1:Loopback0, 2, heimdall, 13, 1, 65, 64
as3border1:Loopback0, 2, heimdall_interface, 28, 0, 27, 35
as3border1:Loopback0, 2, heimdall_end_nodes, 8, 1, 38, 39
as3border1:Loopback0, 2, heimdall_intersect, 8, 1, 38, 39
as2dept1:GigabitEthernet2/0, 2, base, 13, 1, 65, 56
as2dept1:GigabitEthernet2/0, 2, empty, 0, 0, 0, 0
as2dept1:GigabitEthernet2/0, 2, neighbor, 2, 0, 9, 15
as2dept1:GigabitEthernet2/0, 2, crystal-net, 2, 0, 9, 15
as2dept1:GigabitEthernet2/0, 2, heimdall, 12, 1, 60, 56
as2dept1:GigabitEthernet2/0, 2, heimdall_interface, 27, 0, 26, 31
as2dept1:GigabitEthernet2/0, 2, heimdall_end_nodes, 8, 1, 38, 36
as2dept1:GigabitEthernet2/0, 2, heimdall_intersect, 8, 1, 38, 36
as1core1:GigabitEthernet0/0, 2, base, 13, 1, 65, 59
as1core1:GigabitEthernet0/0, 2, empty, 0, 0, 0, 0
as1core1:GigabitEthernet0/0, 2, neighbor, 2, 0, 9, 10
as1core1:GigabitEthernet0/0, 2, crystal-net, 2, 0, 9, 10
as1core1:GigabitEthernet0/0, 2, heimdall, 10, 0, 52, 52
as1core1:GigabitEthernet0/0, 2, heimdall_interface, 25, 0, 24, 32
as1core1:GigabitEthernet0/0, 2, heimdall_end_nodes, 5, 0, 25, 32
as1core1:GigabitEthernet0/0, 2, heimdall_intersect, 5, 0, 25, 32
as2border2:Loopback0, 2, base, 13, 1, 65, 64
as2border2:Loopback0, 2, empty, 0, 0, 0, 0
as2border2:Loopback0, 2, neighbor, 4, 0, 21, 22
as2border2:Loopback0, 2, crystal-net, 6, 1, 30, 32
as2border2:Loopback0, 2, heimdall, 13, 1, 65, 64
as2border2:Loopback0, 2, heimdall_interface, 37, 0, 36, 39
as2border2:Loopback0, 2, heimdall_end_nodes, 13, 1, 65, 64
as2border2:Loopback0, 2, heimdall_intersect, 5, 1, 24, 33
as1border2:GigabitEthernet0/0, 2, base, 13, 1, 65, 70
as1border2:GigabitEthernet0/0, 2, empty, 0, 0, 0, 0
as1border2:GigabitEthernet0/0, 2, neighbor, 3, 1, 15, 27
as1border2:GigabitEthernet0/0, 2, crystal-net, 4, 1, 19, 29
as1border2:GigabitEthernet0/0, 2, heimdall, 13, 1, 65, 70
as1border2:GigabitEthernet0/0, 2, heimdall_interface, 33, 0, 32, 45
as1border2:GigabitEthernet0/0, 2, heimdall_end_nodes, 9, 1, 43, 50
as1border2:GigabitEthernet0/0, 2, heimdall_intersect, 1, 0, 6, 28
as3border1:GigabitEthernet0/0, 2, base, 13, 1, 65, 62
