interface removed, # affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies
as2dist2:Loopback0, 6, base, 13, 1, 65, 65
as2dist2:Loopback0, 6, empty, 0, 0, 0, 0
as2dist2:Loopback0, 6, neighbor, 5, 1, 28, 43
as2dist2:Loopback0, 6, crystal-net, 7, 1, 38, 48
as2dist2:Loopback0, 6, heimdall, 13, 1, 65, 65
as2dist2:Loopback0, 6, heimdall_interface, 35, 0, 34, 45
as2dist2:Loopback0, 6, heimdall_end_nodes, 13, 1, 65, 65
as2dist2:Loopback0, 6, heimdall_intersect, 7, 1, 38, 48
as2dist2:Loopback0, 6, heimdall_intersect2, 13, 1, 65, 65
as2dist2:Loopback0, 6, heimdall_intersect3, 13, 1, 65, 65
as2dist2:Loopback0, 6, heimdall_intersect4, 13, 1, 65, 65
as2dist1:GigabitEthernet0/0, 3, base, 13, 1, 65, 70
as2dist1:GigabitEthernet0/0, 3, empty, 0, 0, 0, 0
as2dist1:GigabitEthernet0/0, 3, neighbor, 4, 1, 23, 45
as2dist1:GigabitEthernet0/0, 3, crystal-net, 7, 1, 38, 53
as2dist1:GigabitEthernet0/0, 3, heimdall, 7, 1, 38, 53
as2dist1:GigabitEthernet0/0, 3, heimdall_interface, 20, 0, 20, 37
as2dist1:GigabitEthernet0/0, 3, heimdall_end_nodes, 7, 1, 38, 53
as2dist1:GigabitEthernet0/0, 3, heimdall_intersect, 1, 0, 6, 29
as2dist1:GigabitEthernet0/0, 3, heimdall_intersect2, 7, 1, 38, 53
as2dist1:GigabitEthernet0/0, 3, heimdall_intersect3, 7, 1, 38, 53
as2dist1:GigabitEthernet0/0, 3, heimdall_intersect4, 7, 1, 38, 53
as2border1:GigabitEthernet1/0, 15, base, 13, 1, 65, 60
as2border1:GigabitEthernet1/0, 15, empty, 0, 0, 0, 0
as2border1:GigabitEthernet1/0, 15, neighbor, 8, 0, 41, 58
as2border1:GigabitEthernet1/0, 15, crystal-net, 11, 1, 55, 58
as2border1:GigabitEthernet1/0, 15, heimdall, 13, 1, 65, 60
as2border1:GigabitEthernet1/0, 15, heimdall_interface, 36, 0, 35, 44
as2border1:GigabitEthernet1/0, 15, heimdall_end_nodes, 13, 1, 65, 60
as2border1:GigabitEthernet1/0, 15, heimdall_intersect, 3, 0, 14, 16
as2border1:GigabitEthernet1/0, 15, heimdall_intersect2, 13, 1, 65, 60
as2border1:GigabitEthernet1/0, 15, heimdall_intersect3, 7, 1, 35, 41
as2border1:GigabitEthernet1/0, 15, heimdall_intersect4, 10, 1, 52, 49
as1core1:GigabitEthernet0/0, 17, base, 13, 1, 65, 59
as1core1:GigabitEthernet0/0, 17, empty, 0, 0, 0, 0
as1core1:GigabitEthernet0/0, 17, neighbor, 8, 0, 43, 52
as1core1:GigabitEthernet0/0, 17, crystal-net, 11, 0, 57, 57
as1core1:GigabitEthernet0/0, 17, heimdall, 13, 1, 65, 59
as1core1:GigabitEthernet0/0, 17, heimdall_interface, 37, 0, 36, 34
as1core1:GigabitEthernet0/0, 17, heimdall_end_nodes, 13, 1, 65, 59
as1core1:GigabitEthernet0/0, 17, heimdall_intersect, 4, 0, 20, 32
as1core1:GigabitEthernet0/0, 17, heimdall_intersect2, 13, 1, 65, 59
as1core1:GigabitEthernet0/0, 17, heimdall_intersect3, 9, 1, 43, 44
as1core1:GigabitEthernet0/0, 17, heimdall_intersect4, 13, 1, 65, 59
as2border1:GigabitEthernet2/0, 6, base, 13, 1, 65, 70
as2border1:GigabitEthernet2/0, 6, empty, 0, 0, 0, 0
as2border1:GigabitEthernet2/0, 6, neighbor, 5, 0, 28, 53
as2border1:GigabitEthernet2/0, 6, crystal-net, 7, 1, 38, 53
as2border1:GigabitEthernet2/0, 6, heimdall, 13, 1, 65, 70
as2border1:GigabitEthernet2/0, 6, heimdall_interface, 33, 0, 32, 54
as2border1:GigabitEthernet2/0, 6, heimdall_end_nodes, 13, 1, 65, 70
